Name,Year,Month,Time,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7,DAY8,DAY9,DAY10,DAY11,DAY12,DAY13,DAY14,DAY15,DAY16,DAY17,DAY18,DAY19,DAY20,DAY21,DAY22,DAY23,DAY24,DAY25,DAY26,DAY27,DAY28,DAY29,DAY30,DAY31
KIAMO-Accra,2000,10,15:00,65,70,71,65,69,67,70,65,71,63,56,60,66,65,73,59,64,68,66,63,61,64,64,61,59,65,67,66,64,67,71
KIAMO-Accra,2000,11,06:00,93,92,93,92,89,88,89,92,91,90,90,93,92,92,80,88,93,92,92,92,92,96,93,93,94,90,93,94,92,90,
KIAMO-Accra,2000,11,15:00,65,67,70,69,72,64,76,69,72,69,69,59,76,67,62,60,65,68,67,72,66,61,63,69,62,61,67,71,62,59,
KIAMO-Accra,2000,12,06:00,91,92,92,94,93,92,88,91,94,89,93,88,82,92,92,88,92,93,93,90,92,90,94,92,92,93,93,93,90,92,90
KIAMO-Accra,2000,12,15:00,63,55,62,66,67,61,62,60,60,64,66,61,66,58,35,56,64,62,67,72,72,69,69,72,68,64,67,66,67,64,66
KIAMO-Accra,2001,01,06:00,87,90,93,92,93,90,94,93,96,93,94,88,92,89,93,92,93,93,93,93,88,92,92,93,91,93,92,93,92,92,92
KIAMO-Accra,2001,01,15:00,56,69,65,71,70,70,61,65,64,61,63,65,61,63,68,66,64,66,66,64,61,61,61,67,60,62,53,51,63,60,60
KIAMO-Accra,2001,02,06:00,92,92,93,86,92,90,92,92,90,92,91,92,91,49,58,65,88,91,87,92,90,91,91,90,90,86,77,91,,,
KIAMO-Accra,2001,02,15:00,68,71,70,63,61,61,60,59,59,53,63,55,23,26,26,46,52,54,61,67,68,65,59,62,72,60,68,66,,,
KIAMO-Accra,2001,03,06:00,79,88,93,84,91,90,90,90,92,91,91,92,89,91,89,88,88,91,90,88,91,89,89,90,91,91,78,90,90,92,88
KIAMO-Accra,2001,03,15:00,65,69,62,62,56,58,76,59,64,63,61,60,61,69,68,53,70,57,61,63,60,62,67,62,62,66,56,72,56,61,60
KIAMO-Accra,2001,04,06:00,88,87,90,87,94,89,92,92,92,90,92,92,90,81,88,89,92,92,93,90,91,83,88,92,91,90,94,91,91,94,
KIAMO-Accra,2001,04,15:00,63,61,98,60,59,57,62,62,61,64,67,63,65,64,60,72,61,71,63,64,64,66,66,56,74,88,67,60,86,75,
KIAMO-Accra,2001,05,06:00,94,94,96,93,92,90,93,92,90,93,92,92,91,90,88,92,93,90,95,97,88,88,93,90,93,92,91,92,90,92,93
KIAMO-Accra,2001,05,15:00,63,64,60,71,66,63,65,67,92,71,65,65,62,64,69,77,63,60,69,68,68,65,60,63,59,70,67,81,69,74,71
KIAMO-Accra,2001,06,06:00,92,93,89,93,96,95,93,92,89,88,95,96,94,91,94,92,92,89,96,93,93,94,86,88,94,95,92,92,93,88,
KIAMO-Accra,2001,06,15:00,62,72,73,67,96,67,67,70,78,66,82,85,69,76,61,63,66,96,77,67,69,65,83,94,76,69,88,78,74,77,
KIAMO-Accra,2001,07,06:00,93,93,93,90,95,94,93,93,88,92,88,93,92,92,89,91,91,92,87,90,95,92,87,89,92,95,93,93,88,90,95
KIAMO-Accra,2001,07,15:00,70,65,77,75,84,76,69,64,74,69,71,69,69,74,72,73,61,66,76,73,88,76,82,67,68,66,61,68,89,72,60
KIAMO-Accra,2001,08,06:00,92,88,89,89,93,92,89,91,86,93,90,87,88,91,91,93,88,88,92,98,95,94,92,88,94,90,90,92,88,89,90
KIAMO-Accra,2001,08,15:00,69,73,69,70,67,69,74,83,65,65,63,76,70,68,70,75,83,80,73,74,87,76,71,69,68,69,73,67,61,70,75
KIAMO-Accra,2001,09,06:00,95,90,92,90,93,95,92,94,96,92,92,88,93,92,86,93,92,88,93,94,92,88,96,92,90,94,90,90,93,90,
KIAMO-Accra,2001,09,15:00,70,66,75,66,72,80,63,65,77,66,69,77,71,73,69,65,67,74,72,61,71,77,69,74,90,72,69,72,66,66,
KIAMO-Accra,2001,10,06:00,93,93,88,90,89,92,93,92,93,92,91,92,90,92,92,93,93,92,93,92,92,91,93,94,93,96,93,92,92,92,93
KIAMO-Accra,2001,10,15:00,86,65,68,66,65,63,71,67,64,67,63,66,67,66,68,66,63,66,71,66,67,75,66,73,66,68,66,63,68,67,66
KIAMO-Accra,2001,11,06:00,92,90,92,92,91,92,88,93,90,93,92,92,92,92,93,92,92,92,92,90,92,92,92,92,92,92,93,93,95,93,
KIAMO-Accra,2001,11,15:00,66,62,67,60,65,63,67,65,66,66,72,64,62,66,62,65,65,66,63,65,63,60,66,62,62,66,70,66,64,67,
KIAMO-Accra,2001,12,06:00,94,96,95,92,93,94,94,95,94,90,94,89,91,94,94,94,92,93,93,94,93,92,92,94,94,93,94,94,92,92,93
KIAMO-Accra,2001,12,15:00,66,66,68,64,66,70,71,64,68,68,63,61,64,63,58,73,72,68,70,65,67,65,67,66,67,66,65,69,64,64,67
KIAMO-Accra,2002,01,06:00,93,92,92,92,91,87,92,94,92,76,68,60,62,67,62,51,76,94,93,93,93,91,92,92,91,93,92,93,95,94,90
KIAMO-Accra,2002,01,15:00,61,73,61,66,63,67,59,64,66,29,41,27,53,33,36,44,57,55,63,63,62,69,69,63,68,63,52,59,35,62,63
KIAMO-Accra,2002,02,06:00,95,51,53,93,91,91,92,92,90,92,92,92,93,93,91,93,90,88,90,91,87,90,90,92,89,90,82,85,,,
KIAMO-Accra,2002,02,15:00,32,33,58,64,63,60,62,65,63,67,63,64,59,63,66,68,66,65,61,67,66,63,60,59,60,65,57,62,,,
KIAMO-Accra,2002,03,06:00,89,89,92,88,89,88,89,90,86,88,87,96,93,89,90,89,92,89,92,92,82,88,87,90,88,92,92,90,90,92,88
KIAMO-Accra,2002,03,15:00,58,55,65,63,58,62,56,66,60,51,56,65,59,61,67,62,67,59,61,71,59,62,63,70,66,72,68,64,62,57,59
KIAMO-Accra,2002,04,06:00,88,92,90,91,90,90,83,93,93,89,88,93,86,90,89,90,94,87,100,83,89,93,89,90,93,90,86,90,88,94,
KIAMO-Accra,2002,04,15:00,66,62,66,60,63,65,59,56,56,66,70,58,70,66,65,68,63,78,70,55,71,61,64,79,64,62,71,63,67,61,
KIAMO-Accra,2002,05,06:00,88,96,94,91,89,90,94,92,92,89,92,90,92,93,92,90,92,93,88,83,88,91,94,93,91,94,90,93,93,92,89
KIAMO-Accra,2002,05,15:00,60,70,65,64,67,93,63,65,62,59,65,70,72,75,67,70,64,68,63,64,67,72,71,61,64,67,72,80,79,72,65
KIAMO-Accra,2002,06,06:00,92,87,92,90,88,90,93,92,92,96,94,92,96,98,95,97,95,93,94,92,96,94,93,90,92,93,96,92,96,90,
KIAMO-Accra,2002,06,15:00,77,62,65,63,83,90,65,76,78,75,66,77,65,94,68,79,70,78,72,71,79,64,74,69,68,69,75,76,71,70,
KIAMO-Accra,2002,07,06:00,95,93,91,93,92,96,93,95,90,95,96,93,94,93,92,93,93,95,96,92,92,92,92,96,95,92,93,89,92,88,93
KIAMO-Accra,2002,07,15:00,69,72,78,79,84,72,69,71,81,79,69,79,71,69,70,79,87,86,78,76,74,78,81,85,80,76,80,77,70,75,76
KIAMO-Accra,2002,08,06:00,96,92,92,90,85,96,93,94,92,92,93,89,90,90,92,89,89,92,90,87,92,92,92,83,91,93,92,91,91,91,93
KIAMO-Accra,2002,08,15:00,84,75,73,69,92,83,78,64,64,68,68,71,74,74,71,68,68,69,67,65,93,69,63,69,64,80,62,63,72,61,65
KIAMO-Accra,2002,09,06:00,92,86,93,93,95,86,90,87,90,93,92,93,89,87,90,89,88,86,92,90,91,91,89,89,92,93,91,88,89,88,
KIAMO-Accra,2002,09,15:00,64,63,78,80,66,73,64,63,67,75,71,64,68,65,63,62,66,72,65,68,67,68,69,68,63,63,63,74,68,68,
